year,sex,survival
1880,M,0
1890,M,0
1900,M,0
1910,M,1
1920,M,499
1930,M,13234
1940,M,44969
1950,M,70262
1960,M,83535
1970,M,90745
1980,M,95087
1990,M,97173
2000,M,98655
2010,M,99259
2020,M,100000
1880,F,0
1890,F,0
1900,F,0
1910,F,8
1920,F,2071
1930,F,25292
1940,F,58830
1950,F,80245
1960,F,89982
1970,F,94478
1980,F,97059
1990,F,98309
2000,F,99011
2010,F,99379
2020,F,100000
